Galaxy,Source No.,RA,Dec
,422,05 24 30.62,-69 34 35.81
,423,05 24 30.95,-69 40 46.29
,424,05 24 31.31,-69 35 59.29
,425,05 24 31.59,-69 36 40.20
,426,05 24 31.74,-69 39 00.52
,427,05 24 32.32,-69 34 35.83
,428,05 24 33.22,-69 36 02.59
,429,05 24 33.39,-69 41 11.41
,430,05 24 33.43,-69 39 22.18
,431,05 24 33.69,-69 36 10.31
,432,05 24 33.95,-69 35 05.61
,433,05 24 34.69,-69 38 01.02
,434,05 24 35.48,-69 36 22.62
,435,05 24 35.55,-69 32 37.62
,436,05 24 35.84,-69 36 54.61
,437,05 24 35.93,-69 32 13.68
,438,05 24 36.10,-69 38 19.23
,439,05 24 36.26,-69 32 30.65
,440,05 24 36.44,-69 34 59.48
,441,05 24 36.47,-69 40 00.43
,442,05 24 36.56,-69 38 30.06
,443,05 24 36.77,-69 37 43.32
,444,05 24 37.33,-69 33 06.82
,445,05 24 38.26,-69 35 59.40
,446,05 24 39.79,-69 34 28.52
,447,05 24 39.98,-69 37 14.81
,448,05 24 40.91,-69 38 00.09
,449,05 24 43.71,-69 40 24.99
,450,05 24 44.21,-69 38 07.49
,451,05 24 44.74,-69 33 10.08
,452,05 24 45.28,-69 35 26.12
,453,05 24 45.30,-69 41 19.87
,454,05 24 46.01,-69 33 15.00
,455,05 24 47.64,-69 37 31.59
,456,05 24 48.57,-69 34 57.60
,457,05 24 48.63,-69 41 55.47
,458,05 24 49.48,-69 33 21.17
,459,05 24 50.32,-69 34 55.87
,460,05 24 50.89,-69 33 41.59
,461,05 24 51.92,-69 43 06.78
,462,05 24 52.40,-69 42 37.96
,463,05 24 52.58,-69 40 30.21
,464,05 24 52.88,-69 37 08.00
,465,05 24 53.14,-69 34 28.59
,466,05 24 53.76,-69 37 41.29
,467,05 24 53.88,-69 38 44.84
,468,05 24 54.16,-69 36 33.81
,469,05 24 54.17,-69 43 30.28
,470,05 24 54.18,-69 38 40.88
,471,05 24 54.50,-69 38 50.96
,472,05 24 54.54,-69 38 29.00
,473,05 24 54.68,-69 38 26.70
,474,05 24 54.76,-69 38 24.74
,475,05 24 54.76,-69 38 44.92
,476,05 24 54.84,-69 41 47.46
,477,05 24 54.88,-69 38 56.17
,478,05 24 54.90,-69 38 22.33
,479,05 24 54.94,-69 38 12.25
,480,05 24 55.01,-69 38 32.68
,481,05 24 55.14,-69 38 10.14
,482,05 24 55.53,-69 38 23.13
,483,05 24 55.59,-69 38 27.78
,484,05 24 55.68,-69 38 03.27
,485,05 24 55.82,-69 37 50.97
